"variable_id","title","description","register_type","register_address","usable_address","divisor","factor","unit","variable_size","rest_writable","minimum_raw","maximum_raw","default_raw","included_in_definition","mqtt_topic"
1017,"High condenser out alarm (S135)","","input",575,true,1,1,"","u16",false,0,0,0,false,""
1018,"High condenser in alarm (S135)","","input",576,true,1,1,"","u16",false,0,0,0,false,""
1021,"Operating mode PV panels","","input",579,true,1,1,"","u8",false,0,0,0,false,""
1023,"EME lux mode without EME","","input",581,true,1,1,"","u8",false,0,0,0,false,""
1024,"Timer (EME)","","input",582,true,60,0.016666666666666666,"min","u16",false,0,0,0,false,""
1068,"Fan mode 4","","input",590,true,1,1,"%","u8",false,0,0,0,false,""
1069,"Fan mode 3","","input",591,true,1,1,"%","u8",false,0,0,0,false,""
1070,"Fan mode 2","","input",592,true,1,1,"%","u8",false,0,0,0,false,""
1076,"Is the compressor accessible","","input",593,true,1,1,"","u8",false,0,0,0,false,""
1179,"Permit (undefined)","","input",683,true,1,1,"","u8",false,0,0,0,false,""
1180,"Permit (undefined)","","input",684,true,1,1,"","u8",false,0,0,0,false,""
1181,"Permit (undefined)","","input",685,true,1,1,"","u8",false,0,0,0,false,""
1182,"Permit (OPT 10) additional heat","","input",686,true,1,1,"","u8",false,0,0,0,false,""
1183,"Permit ext. imm. heater step","","input",687,true,1,1,"","u8",false,0,0,0,false,""
1184,"Permit int. imm. heater step","","input",688,true,1,1,"","u8",false,0,0,0,false,""
1185,"Permit shunted additional heat","","input",689,true,1,1,"","u8",false,0,0,0,false,""
1186,"Permit prioritised additional heat","","input",690,true,1,1,"","u8",false,0,0,0,false,""
1187,"Permit (EB108-EP15)","","input",691,true,1,1,"","u8",false,0,0,0,false,""
1188,"Permit (EB107-EP15)","","input",692,true,1,1,"","u8",false,0,0,0,false,""
1189,"Permit (EB106-EP15)","","input",693,true,1,1,"","u8",false,0,0,0,false,""
1190,"Permit (EB105-EP15)","","input",694,true,1,1,"","u8",false,0,0,0,false,""
1191,"Permit (EB104-EP15)","","input",695,true,1,1,"","u8",false,0,0,0,false,""
1192,"Permit (EB103-EP15)","","input",696,true,1,1,"","u8",false,0,0,0,false,""
1193,"Permit (EB102-EP15)","","input",697,true,1,1,"","u8",false,0,0,0,false,""
1194,"Permit (EB101-EP15)","","input",698,true,1,1,"","u8",false,0,0,0,false,""
1195,"Permit (EB100-EP15)","","input",699,true,1,1,"","u8",false,0,0,0,false,""
1196,"Permit (EB108-EP14)","","input",700,true,1,1,"","u8",false,0,0,0,false,""
